unix,low,high,open,close,volume,date,vol_fiat
1640390400,0.6225,0.6639,0.6277,0.6549,49625052.8,2021-12-25,32499447.07872
1640304000,0.5916,0.69,0.5951,0.628,203014400.2,2021-12-24,127493043.3256
1640217600,0.5298,0.6166,0.5369,0.5951,125224070.6,2021-12-23,74520844.41406
1640131200,0.525,0.55,0.5289,0.5366,74819360.3,2021-12-22,40148068.73698
1640044800,0.4949,0.5401,0.5006,0.5291,66555675.8,2021-12-21,35214608.06578
1639958400,0.4769,0.5196,0.5135,0.5003,76571417.1,2021-12-20,38308679.97512999
1639872000,0.513,0.5411,0.526,0.5137,44808619.4,2021-12-19,23018187.78578
1639785600,0.511,0.5377,0.5209,0.526,43672143.9,2021-12-18,22971547.6914
1639699200,0.51,0.544,0.5384,0.5208,58082954.1,2021-12-17,30249602.49528
1639612800,0.5358,0.571,0.557,0.5381,50383767.5,2021-12-16,27111505.291750003
1639526400,0.5126,0.575,0.5423,0.5568,79071712.3,2021-12-15,44027129.40864
1639440000,0.5202,0.5517,0.5307,0.5423,66153860.0,2021-12-14,35875238.278
1639353600,0.523,0.6055,0.6032,0.531,85386464.6,2021-12-13,45340212.7026
1639267200,0.5712,0.6229,0.5787,0.6035,84495321.8,2021-12-12,50992926.7063
1639180800,0.538,0.5826,0.5476,0.5787,51347281.9,2021-12-11,29714672.035529997
1639094400,0.5448,0.597,0.5649,0.5479,88179771.1,2021-12-10,48313696.58569
1639008000,0.5587,0.6212,0.6095,0.5649,105164835.0,2021-12-09,59407615.291499995
1638921600,0.5852,0.625,0.6067,0.6094,103763720.8,2021-12-08,63233611.455520004
1638835200,0.594,0.6557,0.5958,0.6065,202782888.4,2021-12-07,122987821.8146
1638748800,0.5101,0.6041,0.5632,0.5954,178261032.8,2021-12-06,106136618.92912002
1638662400,0.5357,0.6152,0.6062,0.5631,122942658.0,2021-12-05,69229010.71980001
1638576000,0.4865,0.6447,0.6393,0.6058,285843558.2,2021-12-04,173164027.55756
1638489600,0.5846,0.7032,0.6925,0.6393,185513040.6,2021-12-03,118598486.85557999
1638403200,0.6777,0.7218,0.7179,0.6921,150403643.7,2021-12-02,104094361.80477
1638316800,0.6851,0.7789,0.6886,0.7179,241199916.3,2021-12-01,173157419.91177002
1638230400,0.662,0.7216,0.71,0.6886,235984188.7,2021-11-30,162498712.33881998
1638144000,0.702,0.7732,0.751,0.7102,201447136.6,2021-11-29,143067756.41332
1638057600,0.685,0.7823,0.777,0.7511,269678479.3,2021-11-28,202555505.80223
1637971200,0.6805,0.8225,0.6846,0.777,357352860.2,2021-11-27,277663172.3754
1637884800,0.643,0.8118,0.8108,0.685,417224691.6,2021-11-26,285798913.74600005
1637798400,0.7386,0.915,0.8858,0.8108,579453327.9,2021-11-25,469820758.26131994
1637712000,0.821,0.9889,0.8864,0.8858,642631262.5,2021-11-24,569242772.3225
1637625600,0.7115,0.93,0.727,0.8868,582346241.4,2021-11-23,516424646.87352
1637539200,0.6524,0.7848,0.7241,0.7271,552400138.0,2021-11-22,401650140.3398
1637452800,0.5632,0.85,0.5751,0.7241,737357517.6,2021-11-21,533920578.49416
1637366400,0.531,0.587,0.5682,0.5751,186391519.2,2021-11-20,107193762.69191998
1637280000,0.4812,0.5728,0.4989,0.5682,259251361.8,2021-11-19,147306623.77476
1637193600,0.473,0.625,0.5451,0.4996,600668276.9,2021-11-18,300093871.13923997
1637107200,0.3645,0.69,0.4121,0.545,850918212.7,2021-11-17,463750425.9215001
1637020800,0.3891,0.461,0.4444,0.4123,165991921.2,2021-11-16,68438469.11075999
1636934400,0.4325,0.54,0.4377,0.4438,333352515.8,2021-11-15,147941846.51204
1636848000,0.38,0.4447,0.3854,0.4381,142648651.8,2021-11-14,62494374.353580005
1636761600,0.3559,0.4384,0.3588,0.3854,207466678.3,2021-11-13,79957657.81682001
1636675200,0.33,0.36,0.3469,0.359,63988657.2,2021-11-12,22971927.9348
1636588800,0.3222,0.3493,0.3293,0.3472,61939987.0,2021-11-11,21505563.4864
1636502400,0.31,0.366,0.3502,0.3294,121170095.3,2021-11-10,39913429.39182
1636416000,0.34,0.3992,0.3929,0.3501,168870363.9,2021-11-09,59121514.40139001
1636329600,0.3484,0.419,0.3509,0.3932,271470197.6,2021-11-08,106742081.69632001
1636243200,0.3261,0.369,0.3364,0.3507,129612478.0,2021-11-07,45455096.034600005
1636156800,0.31,0.38,0.3757,0.3364,209079420.2,2021-11-06,70334316.95527999
1636070400,0.2803,0.42,0.2873,0.3757,612450777.5,2021-11-05,230097757.10674998
1635984000,0.255,0.345,0.2751,0.2872,407243902.8,2021-11-04,116960448.88416001
1635897600,0.25,0.2999,0.255,0.2752,160750966.3,2021-11-03,44238665.92576
