unix,low,high,open,close,volume,date,vol_fiat
1640426400,0.6519,0.6523,0.6523,0.6519,7952.9,2021-12-25 10:00:00,5184.49551
1640422800,0.6519,0.6588,0.6581,0.6523,2506116.1,2021-12-25 09:00:00,1634739.5320300001
1640419200,0.6549,0.6636,0.6595,0.6582,3726576.4,2021-12-25 08:00:00,2452832.58648
1640415600,0.6531,0.6639,0.6558,0.6596,4017808.7,2021-12-25 07:00:00,2650146.61852
1640412000,0.6456,0.6592,0.6537,0.656,5276796.7,2021-12-25 06:00:00,3461578.6352000004
1640408400,0.6449,0.6558,0.6456,0.6538,5686437.6,2021-12-25 05:00:00,3717792.90288
1640404800,0.6407,0.6512,0.6409,0.6457,4538100.6,2021-12-25 04:00:00,2930251.55742
1640401200,0.6364,0.6475,0.6376,0.6409,4598200.8,2021-12-25 03:00:00,2946986.89272
1640397600,0.6357,0.6494,0.6384,0.6374,5274205.9,2021-12-25 02:00:00,3361778.84066
1640394000,0.6346,0.6451,0.6408,0.6384,7455606.0,2021-12-25 01:00:00,4759658.870399999
1640390400,0.6225,0.6419,0.6277,0.6408,6841164.3,2021-12-25 00:00:00,4383818.08344
1640386800,0.6143,0.6311,0.6251,0.628,10235903.8,2021-12-24 23:00:00,6428147.5864
1640383200,0.6221,0.6488,0.6488,0.6248,13477490.3,2021-12-24 22:00:00,8420735.93944
1640379600,0.6482,0.6612,0.6582,0.6486,5652177.5,2021-12-24 21:00:00,3666002.3265
1640376000,0.6325,0.6657,0.6526,0.6582,18056049.6,2021-12-24 20:00:00,11884491.84672
1640372400,0.6513,0.685,0.6828,0.6526,16492208.5,2021-12-24 19:00:00,10762815.267099999
1640368800,0.6675,0.69,0.6693,0.6828,14711978.3,2021-12-24 18:00:00,10045338.78324
1640365200,0.6541,0.6735,0.6551,0.6693,18315102.3,2021-12-24 17:00:00,12258297.969390001
1640361600,0.644,0.6589,0.6441,0.6547,13369479.3,2021-12-24 16:00:00,8752998.09771
1640358000,0.63,0.6449,0.6424,0.6441,10808063.7,2021-12-24 15:00:00,6961473.82917
1640354400,0.6386,0.6574,0.6435,0.6424,14997364.3,2021-12-24 14:00:00,9634306.82632
1640350800,0.6313,0.6446,0.6336,0.6438,10010793.5,2021-12-24 13:00:00,6444948.8553
1640347200,0.6168,0.6339,0.6208,0.6333,6031520.7,2021-12-24 12:00:00,3819762.05931
1640343600,0.6184,0.63,0.6221,0.6208,5686654.2,2021-12-24 11:00:00,3530274.92736
1640340000,0.6164,0.6231,0.6199,0.6221,3169822.6,2021-12-24 10:00:00,1971946.63946
1640336400,0.6114,0.62,0.6133,0.6199,2011279.3,2021-12-24 09:00:00,1246792.03807
1640332800,0.6069,0.6145,0.6096,0.6134,2279563.4,2021-12-24 08:00:00,1398284.1895599999
1640329200,0.5984,0.6098,0.6018,0.6097,2989258.3,2021-12-24 07:00:00,1822550.7855099998
1640325600,0.5999,0.6063,0.6059,0.602,2585292.7,2021-12-24 06:00:00,1556346.2054
1640322000,0.6028,0.6077,0.6074,0.6062,2546875.1,2021-12-24 05:00:00,1543915.68562
1640318400,0.6061,0.6113,0.6091,0.6074,3215047.9,2021-12-24 04:00:00,1952820.09446
1640314800,0.6055,0.6123,0.6098,0.6091,5347895.9,2021-12-24 03:00:00,3257403.39269
1640311200,0.6086,0.6199,0.6107,0.6099,10276703.9,2021-12-24 02:00:00,6267761.70861
1640307600,0.5995,0.612,0.5999,0.6107,7027116.7,2021-12-24 01:00:00,4291460.168690001
1640304000,0.5916,0.6015,0.5951,0.5999,3720758.4,2021-12-24 00:00:00,2232082.96416
1640300400,0.5891,0.5979,0.5968,0.5951,4777631.5,2021-12-23 23:00:00,2843168.5056499997
1640296800,0.5957,0.6014,0.5965,0.5971,4566997.8,2021-12-23 22:00:00,2726954.3863799996
1640293200,0.5876,0.5975,0.5968,0.5966,6071060.7,2021-12-23 21:00:00,3621994.81362
1640289600,0.5934,0.607,0.6042,0.5968,8648850.6,2021-12-23 20:00:00,5161634.038079999
1640286000,0.5924,0.6166,0.5944,0.6044,10728651.1,2021-12-23 19:00:00,6484396.72484
1640282400,0.5889,0.6061,0.5892,0.5944,15056892.2,2021-12-23 18:00:00,8949816.72368
1640278800,0.5783,0.5993,0.5783,0.5891,13965294.8,2021-12-23 17:00:00,8226955.16668
1640275200,0.5683,0.58,0.5731,0.5783,9728465.0,2021-12-23 16:00:00,5625971.3095
1640271600,0.5619,0.579,0.5622,0.573,13378180.8,2021-12-23 15:00:00,7665697.5984
